"age","balance","ending_balance.par1","wA","wA_T","consprop.par1","pretax_cons.par1","aftertax_cons.par1","utility","pseudoConsum","value_manager","value_manager1","value_manager2"
25,675000,675000,1.0916,0.9,1,70000,58983,-3.37701887970683e-14,21451.0432684139,14.7517041461219,0.344017094017094,14.4076870521048
25,670000,670000,1.0856,0.9,1,70000,58983,-3.38127392553919e-14,21442.0413864399,14.7515031126037,0.344017094017094,14.4074860185866
25,665000,665000,1.0816,0.9,1,70000,58983,-3.38554843413018e-14,21433.0135245927,14.7512999245599,0.344017094017094,14.4072828305428
25,660000,660000,1.0748,0.9,1,70000,58983,-3.38987769565052e-14,21423.8855011186,14.7510945182977,0.344017094017094,14.4070774242806
25,655000,655000,1.0708,0.9,1,70000,58983,-3.394222172504e-14,21414.7410089708,14.7508867775692,0.344017094017094,14.4068696835521
25,650000,650000,1.0668,0.9,1,70000,58983,-3.39860354871298e-14,21405.5346409673,14.750676682032,0.344017094017094,14.4066595880149
25,645000,645000,1.0598,0.9,1,70000,58983,-3.40304267359714e-14,21396.2230534762,14.7504641348933,0.344017094017094,14.4064470408762
25,640000,640000,1.0566,0.9,1,70000,58983,-3.4074922503958e-14,21386.9057803772,14.750249038191,0.344017094017094,14.4062319441739
25,635000,635000,1.0532,0.9,1,70000,58983,-3.41198194998265e-14,21377.5209193209,14.7500313195962,0.344017094017094,14.4060142255791
25,630000,630000,1.0466,0.9,1,70000,58983,-3.41653373420428e-14,21368.0230758989,14.7498109354718,0.344017094017094,14.4057938414548
25,625000,625000,1.045,0.9,1,70000,58983,-3.42109096675374e-14,21358.5307509094,14.7495877351554,0.344017094017094,14.4055706411383
25,620000,620000,1.0434,0.9,1,70000,58983,-3.42568992745809e-14,21348.9685863183,14.7493616483024,0.344017094017094,14.4053445542853
25,615000,615000,1.0366,0.9,1,70000,58983,-3.43036871715181e-14,21339.2579895814,14.7491325977399,0.344017094017094,14.4051155037228
25,610000,610000,1.034,0.9,1,70000,58983,-3.43506162369461e-14,21329.5358173159,14.7489004740554,0.344017094017094,14.4048833800383
25,605000,605000,1.0326,0.9,1,70000,58983,-3.43979145912017e-14,21319.7550432082,14.7486652013139,0.344017094017094,14.4046481072968
25,6e+05,6e+05,1.0276,0.9,1,70000,58983,-3.44459199620396e-14,21309.8463848012,14.7484266292576,0.344017094017094,14.4044095352405
25,595000,595000,1.0268,0.9,0.999999999999999,69999.9999999999,58982.9999999999,-3.4494118797677e-14,21299.9163002302,14.7481847318144,0.344017094017094,14.4041676377973
25,590000,590000,1.025,0.9,1,70000,58983,-3.45428837427064e-14,21289.8883938643,14.7479393345771,0.344017094017094,14.40392224056
25,585000,585000,1.0244,0.9,1,70000,58983,-3.45920643496384e-14,21279.7941111405,14.7476903467431,0.344017094017094,14.403673252726
25,580000,580000,1.0214,0.9,1,70000,58983,-3.46419277835353e-14,21269.579195394,14.7474376725514,0.344017094017094,14.4034205785343
25,575000,575000,1.0218,0.9,1,70000,58983,-3.46921062009612e-14,21259.3195242476,14.7471812029208,0.344017094017094,14.4031641089037
25,570000,570000,1.0206,0.9,1,70000,58983,-3.47429417317348e-14,21248.9456538458,14.7469207909567,0.344017094017094,14.4029036969396
25,565000,565000,1.0192,0.9,1,70000,58983,-3.47943630522278e-14,21238.472812337,14.7466563601667,0.344017094017094,14.4026392661496
25,560000,560000,1.0208,0.9,1,70000,58983,-3.484619949741e-14,21227.9362899029,14.7463877501437,0.344017094017094,14.4023706561266
25,555000,555000,1.0206,0.9,1,70000,58983,-3.48987596585344e-14,21217.2739782795,14.7461148490826,0.344017094017094,14.4020977550655
